ProductID,Category,Subcategory,Brand,ProductName,CostPrice,SellingPrice,Supplier,LaunchDate
PROD000001,Apparel,Winterwear,WearWell,WearWell Winterwear 328,79.92,134.08,Supplier_045,2019-04-03
PROD000002,Sports & Fitness,Apparel,Striveon,Striveon Apparel 822,62.74,84.53,Supplier_050,2020-08-23
PROD000003,Apparel,Winterwear,Clovera,Clovera Winterwear 867,78.95,140.6,Supplier_044,2022-10-21
PROD000004,Electronics,Audio,NimbusTech,NimbusTech Audio 318,73.88,87.55,Supplier_048,2021-12-29
PROD000005,Electronics,Audio,Veltrix,Veltrix Audio 949,151.1,164.42,Supplier_013,2023-03-07
PROD000006,Apparel,Footwear,UrbanThread,UrbanThread Footwear 839,13.72,26.02,Supplier_026,2023-12-11
PROD000007,Electronics,Accessories,NimbusTech,NimbusTech Accessories 458,718.6,841.68,Supplier_012,2022-10-22
PROD000008,Sports & Fitness,Apparel,Striveon,Striveon Apparel 651,110.97,190.73,Supplier_047,2023-10-28
PROD000009,Grocery,Snacks,PureHarvest,PureHarvest Snacks 440,23.14,30.17,Supplier_027,2022-08-11
PROD000010,Apparel,Footwear,Denimo,Denimo Footwear 171,49.15,118.23,Supplier_056,2023-06-15
PROD000011,Sports & Fitness,Apparel,Striveon,Striveon Apparel 377,172.02,239.46,Supplier_055,2024-04-12
PROD000012,Home & Kitchen,Decor,Hearthly,Hearthly Decor 194,17.94,23.62,Supplier_015,2019-09-24
PROD000013,Toys & Games,Board Games,PlayNest,PlayNest Board Games 290,49.5,83.42,Supplier_018,2022-04-25
PROD000014,Toys & Games,Board Games,Wonderplay,Wonderplay Board Games 949,80.46,160.27,Supplier_001,2024-07-20
PROD000015,Grocery,Snacks,Nutrivia,Nutrivia Snacks 200,22.08,27.99,Supplier_035,2022-02-05
PROD000016,Electronics,Accessories,Sonex,Sonex Accessories 329,722.54,807.87,Supplier_014,2024-02-08
PROD000017,Toys & Games,Outdoor,Wonderplay,Wonderplay Outdoor 599,58.71,105.36,Supplier_057,2022-11-10
PROD000018,Beauty,Fragrance,Glowtra,Glowtra Fragrance 337,21.68,33.18,Supplier_028,2019-09-15
PROD000019,Books & Media,Children,Lorebound,Lorebound Children 453,15.33,20.39,Supplier_023,2022-09-05
PROD000020,Electronics,Laptops,Veltrix,Veltrix Laptops 939,1174.68,1457.0,Supplier_032,2019-12-03
PROD000021,Furniture,Outdoor,Comforta,Comforta Outdoor 717,1477.93,1858.72,Supplier_018,2023-10-23
PROD000022,Furniture,Outdoor,Loungeify,Loungeify Outdoor 432,608.01,746.99,Supplier_050,2021-08-21
PROD000023,Grocery,Beverages,PureHarvest,PureHarvest Beverages 409,21.03,24.99,Supplier_039,2022-02-12
PROD000024,Electronics,Mobiles,Aurawave,Aurawave Mobiles 354,770.99,854.47,Supplier_044,2020-01-09
PROD000025,Apparel,Women,Stratus,Stratus Women 407,51.11,79.28,Supplier_041,2021-07-03
PROD000026,Apparel,Women,Denimo,Denimo Women 367,66.67,130.69,Supplier_055,2023-04-28
PROD000027,Grocery,Frozen Foods,Nutrivia,Nutrivia Frozen Foods 429,2.41,2.86,Supplier_007,2024-02-11
PROD000028,Electronics,Cameras,NimbusTech,NimbusTech Cameras 463,139.29,171.4,Supplier_052,2021-05-04
PROD000029,Toys & Games,Outdoor,PlayNest,PlayNest Outdoor 626,11.19,15.99,Supplier_006,2021-06-14
PROD000030,Grocery,Beverages,GreenLeaf,GreenLeaf Beverages 277,18.5,22.1,Supplier_029,2021-08-11
PROD000031,Toys & Games,Board Games,Wonderplay,Wonderplay Board Games 693,21.75,39.19,Supplier_057,2020-11-17
PROD000032,Grocery,Frozen Foods,GreenLeaf,GreenLeaf Frozen Foods 582,23.29,26.41,Supplier_027,2019-07-20
PROD000033,Toys & Games,Action Figures,Kidzoo,Kidzoo Action Figures 527,78.37,137.44,Supplier_010,2021-01-13
PROD000034,Grocery,Frozen Foods,FarmFresh,FarmFresh Frozen Foods 341,13.81,17.29,Supplier_025,2023-03-29
PROD000035,Electronics,Laptops,Veltrix,Veltrix Laptops 225,841.21,963.93,Supplier_011,2019-07-21
PROD000036,Toys & Games,Board Games,Wonderplay,Wonderplay Board Games 993,17.93,35.44,Supplier_042,2024-08-03
PROD000037,Grocery,Snacks,DailyBasket,DailyBasket Snacks 158,6.04,7.38,Supplier_038,2024-05-29
PROD000038,Grocery,Snacks,Nutrivia,Nutrivia Snacks 772,6.35,8.4,Supplier_019,2019-03-15
PROD000039,Apparel,Kids,Denimo,Denimo Kids 721,62.11,110.9,Supplier_035,2019-01-16
PROD000040,Home & Kitchen,Storage,Hearthly,Hearthly Storage 647,204.7,296.9,Supplier_013,2021-10-27
PROD000041,Home & Kitchen,Appliances,KitchPro,KitchPro Appliances 427,178.83,227.78,Supplier_025,2020-02-11
PROD000042,Electronics,Cameras,Pulseon,Pulseon Cameras 174,713.12,889.72,Supplier_040,2022-08-13
PROD000043,Automotive,Care Products,MotoFix,MotoFix Care Products 378,270.21,370.38,Supplier_022,2020-09-03
PROD000044,Electronics,Accessories,Aurawave,Aurawave Accessories 765,967.18,1124.24,Supplier_030,2024-01-26
PROD000045,Toys & Games,Action Figures,Brainary,Brainary Action Figures 101,42.86,84.52,Supplier_003,2020-11-21
PROD000046,Beauty,Makeup,Auralis,Auralis Makeup 144,6.89,11.29,Supplier_032,2019-09-14
PROD000047,Grocery,Dairy,DailyBasket,DailyBasket Dairy 542,20.13,22.49,Supplier_054,2022-01-04
PROD000048,Home & Kitchen,Appliances,CasaNova,CasaNova Appliances 548,112.36,144.75,Supplier_007,2022-02-25
PROD000049,Home & Kitchen,Cookware,Dweliva,Dweliva Cookware 117,122.42,193.54,Supplier_003,2022-07-18
PROD000050,Beauty,Skincare,Glowtra,Glowtra Skincare 490,15.14,29.16,Supplier_048,2023-04-26
PROD000051,Beauty,Skincare,Lumeve,Lumeve Skincare 140,8.67,17.58,Supplier_032,2023-09-09
PROD000052,Apparel,Winterwear,Clovera,Clovera Winterwear 997,59.54,117.1,Supplier_032,2020-05-28
PROD000053,Beauty,Makeup,Lumeve,Lumeve Makeup 689,25.31,52.8,Supplier_028,2023-11-08
PROD000054,Grocery,Staples,FarmFresh,FarmFresh Staples 162,24.8,31.8,Supplier_054,2024-10-25
PROD000055,Beauty,Skincare,PureSkin,PureSkin Skincare 395,42.17,67.63,Supplier_021,2020-12-09
PROD000056,Apparel,Winterwear,Stratus,Stratus Winterwear 366,42.03,91.31,Supplier_039,2019-05-18
PROD000057,Books & Media,Children,ChapterOne,ChapterOne Children 252,21.75,30.71,Supplier_024,2022-01-22
PROD000058,Toys & Games,Educational,Kidzoo,Kidzoo Educational 418,57.47,113.9,Supplier_004,2019-06-19
PROD000059,Electronics,Accessories,Pulseon,Pulseon Accessories 197,882.19,1040.87,Supplier_056,2019-08-09
PROD000060,Sports & Fitness,Nutrition,ProAthlete,ProAthlete Nutrition 460,108.05,149.66,Supplier_053,2020-10-09
PROD000061,Home & Kitchen,Furnishing,Dweliva,Dweliva Furnishing 152,20.39,32.25,Supplier_052,2019-09-10
PROD000062,Beauty,Makeup,Glowtra,Glowtra Makeup 492,25.08,55.06,Supplier_035,2021-03-10
PROD000063,Grocery,Frozen Foods,Nutrivia,Nutrivia Frozen Foods 507,24.06,31.06,Supplier_016,2023-01-15
PROD000064,Sports & Fitness,Footwear,PeakGear,PeakGear Footwear 475,219.89,343.32,Supplier_036,2024-03-28
PROD000065,Electronics,Laptops,Aurawave,Aurawave Laptops 247,1168.2,1278.5,Supplier_016,2021-02-13
PROD000066,Toys & Games,Action Figures,Brainary,Brainary Action Figures 849,63.84,114.41,Supplier_016,2024-06-10
PROD000067,Apparel,Men,Clovera,Clovera Men 990,65.15,124.28,Supplier_026,2023-10-17
PROD000068,Electronics,Audio,Pulseon,Pulseon Audio 334,677.77,789.88,Supplier_011,2023-11-01
PROD000069,Beauty,Makeup,PureSkin,PureSkin Makeup 435,37.41,63.27,Supplier_054,2023-08-30
PROD000070,Apparel,Winterwear,UrbanThread,UrbanThread Winterwear 439,20.97,39.5,Supplier_049,2023-09-17
PROD000071,Grocery,Snacks,GreenLeaf,GreenLeaf Snacks 940,18.32,22.82,Supplier_047,2024-02-13
PROD000072,Beauty,Skincare,Auralis,Auralis Skincare 546,28.59,41.06,Supplier_056,2022-03-26
PROD000073,Grocery,Snacks,DailyBasket,DailyBasket Snacks 989,7.98,9.54,Supplier_027,2023-05-07
PROD000074,Grocery,Dairy,GreenLeaf,GreenLeaf Dairy 215,12.02,15.43,Supplier_060,2022-11-08
PROD000075,Home & Kitchen,Furnishing,CasaNova,CasaNova Furnishing 667,155.89,214.52,Supplier_012,2021-07-18
PROD000076,Grocery,Beverages,DailyBasket,DailyBasket Beverages 488,19.94,23.04,Supplier_049,2019-08-30
PROD000077,Electronics,Mobiles,Sonex,Sonex Mobiles 774,56.42,63.79,Supplier_060,2021-08-22
